Label,Bounding Box
URI,https://opengeometadata.org/ogm-aardvark/#bounding-box
Field name,dcat_bbox
Field type,string
Obligation,Suggested
Multivalued,false
Purpose,To support overlap ratio boosting in spatial searches
Entry Guidelines,"This should be a bounding box in this format: ENVELOPE(w,e,n,s)."
Commentary,"If the locn_geometry field uses the ENVELOPE syntax, then these fields will be identical."
Controlled Vocabulary,no
Example value,"""ENVELOPE(-111.1, -104.0, 45.0, 40.9)"""
Element Set,DCAT
Group,Spatial
