Label,Creator
URI,https://opengeometadata.org/ogm-aardvark/#creator
Field Name,dct_creator_sm
Field Type,Array of strings
Obligation,Suggested
Multivalued,True
Purpose,To credit the person/organization that collected or authored the resource.
Entry Guidelines,The suggested controlled vocabulary is the [Library of Congress Name Authority File](https://id.loc.gov/authorities/names.html).
Commentary,"The distinction between Creator and [Publisher](../ogm-aardvark/#publisher) is often vague. This field is best reserved for instances in which an individual person has collected, produced, or generated analyses of data (as opposed to an agency releasing a data product or resource). It can be a person or an organization."
Controlled Vocabulary,No
Example Value,"[""Geological Survey (U.S.)""]"
Element Set,DCMI
Group,Credits
