Label,Identifier
URI,https://opengeometadata.org/ogm-aardvark/#identifier
Field name,dct_identifier_sm
Obligation,Suggested
Multivalued,true
Field type,array of strings
Purpose,To provide a general purpose field for identifiers
Entry Guidelines,"This may include a DOI, catalog number, and/or other system number."
Commentary,"This is a general purpose field that can contain one or more persistent identifers or permalinks. At least one value would be ideally a persistent identifier or permalink (such as a PURL or Handle. Additional values can be for other identifiers used by the resource, such as the call number, OCLC number, or other system identifier. This field is not displayed in the interface."
Controlled Vocabulary,no
Example value,"[""5864 .L7 E635 1998 .G7""]"
Element Set,DCMI
Group,Administrative
