Label,Is Replaced By
URI,https://opengeometadata.org/ogm-aardvark/#is-replaced-by
Field name,dct_isReplacedBy_sm
Field type,array of strings
Obligation,Optional
Multivalued,true
Purpose,To point the user to new item(s)
Entry Guidelines,Enter the ID of the related item(s) that should be used instead.
Commentary,"Replaces and Is Replaced By can be used for a revised version of a research dataset where the original is needed for reference. For example, if the original dataset has already been cited somewhere, it can be retained in a repository with a clear indication that it has been superseded by a new version."
Controlled Vocabulary,no
Example value,"[""cugir-007933""]"
Element Set,DCMI
Group,Relations
