Label,Keyword
URI,https://opengeometadata.org/ogm-aardvark/#keyword
Field name,dcat_keyword_sm
Field type,array of strings
Obligation,Optional
Multivalued,true
Purpose,To improve search results with hidden free text tags and to give administrators a field for internal tags
Entry Guidelines,"Enter tags that will be useful for enhancing searches and interpretation. Keywords will be in the metadata, but will be hidden to the user by default."
Commentary,These may be used for administrative purposes or to facilitate text searching without cluttering a facet or interface. They may be helpful for grouping items by an accession code or for alternate spellings of common terms.
Controlled Vocabulary,no
Example value,"[""covid19"", ""vaccination rate""]"
Element Set,DCAT
Group,Categories
