Label,Language
URI,https://opengeometadata.org/ogm-aardvark/#language
Field name,dct_language_sm
Field type,array of strings
Obligation,Optional
Multivalued,true
Purpose,To provide the user with the language of the map
Entry Guidelines,Enter a 3-letter code using the ISO 639-2 standard.
Commentary,"This field is intended to indicate the language of the dataset, map, and/or supporting documentation."
Controlled Vocabulary,yes - not strict. Chose from the ISO 639-3 language codes documented on the Library of Congress website. [https://www.loc.gov/standards/iso639-2/php/English_list.php](https://www.loc.gov/standards/iso639-2/php/English_list.php)
Example value,"[""eng""]"
Element Set,DCMI
Group,Bibliographic - general
