Label,License
URI,https://opengeometadata.org/ogm-aardvark/#license
Field Name,dct_license_sm
Field Type,Array of strings
Obligation,Optional
Multivalued,True
Purpose,"To provide URI links to specific, known licenses."
Entry Guidelines,Enter a license URI. Recommended sources are Creative Commons or Open Data Commons.
Commentary,"This field is only for URIs of known licenses. Do not enter a rightsstatement.org statement here, because those belong in the [Rights](../ogm-aardvark/#rights_1) field."
Controlled Vocabulary,No
Example Value,"[""https://creativecommons.org/licenses/by/4.0/""]"
Element Set,DCMI
Group,Rights
