Label,Publisher
Field name,dct_publisher_sm
Obligation,Suggested
Multivalued,true
Field type,array of strings
Purpose,To credit the entity that first made a new version of something available
Entry Guidelines,The suggested controlled vocabulary is the Library of Congress Name Authority File.
Commentary,"The distinction between dc_publisher_s and dc_creator_sm for data is often vague. Publishers should be the administrative body or organization that made the original resource available, regardless of who compiled or produced the data."
Controlled Vocabulary,no
Example value,"[""ML InfoMap (Firm)""]"
Element Set,DCMI
Group,Bibliographic - entity
