Label,Replaces
URI,https://opengeometadata.org/ogm-aardvark/#replaces
Field name,dct_replaces_sm
Obligation,Optional
Multivalued,true
Field type,array of strings
Purpose,To point the user to deprecated item(s)
Entry Guidelines,Enter the ID of the deprecated related item(s).
Commentary,"Replaces and Is Replaced By can be used for a revised version of a research dataset where the original is needed for reference. For example, if the original dataset has already been cited somewhere, it can be retained in a repository with a clear indication that it has been superseded by a new version."
Controlled Vocabulary,no
Example value,"[""qrst-71717""]"
Element Set,DCMI
Group,Relations
