Label,Spatial Coverage
URI,dct_spatial_sm
Obligation,Suggested
Multivalued,true
Field type,array of strings
Purpose,To provide the user with a list of searchable and selectable place names
Entry Guidelines,Place name text strings should be specified out to the nation level. It is typical for the place name to represent the largest extent the data layer represents. Our recommended thesaurus is GeoNames.
Commentary,It is recommended to have at least one place name for each layer that corresponds to the logical extent of the area of that layer.
Controlled Vocabulary,no
Example value,"[""Philadelphia, Pennsylvania, United States""]"
Element Set,DCMI
Group,Spatial
