Label,Alternative Title
URI,https://opengeometadata.org/ogm-aardvark/#alternative-title
Field Name,dct_alternative_sm
Field Type,Array of strings
Obligation,Optional
Multivalued,True
Purpose,To provide the user with the another title if needed.
Entry Guidelines,This could be for a secondary or original title or subtitle.
Commentary,"For discoverability, improving titles for data is encouraged. This field could be a place to keep the original title. It could also be useful for scanned maps. Some have long titles that include MARC subtitle fields, such as 245$b. Whether or not this field should appear in your GeoBlacklight item view pages can be customized in the application."
Controlled Vocabulary,No
Example Value,"[""NEZ H Districts""]"
Element Set,DCMI
Group,Descriptive
