Label,Identifier
URI,https://opengeometadata.org/ogm-aardvark/#identifier
Field Name,dct_identifier_sm
Field Type,Array of strings
Obligation,Optional
Multivalued,True
Purpose,To provide a general purpose field for identifiers.
Entry Guidelines,"Enter a DOI, catalog number, and/or other system number."
Commentary,"This is a general purpose field that can contain one or more string values. Ideally, at least one value would be a persistent identifier or permalink (such as a PURL or Handle). Additional values could be other identifiers used by the resource, such as the call number, OCLC number, or other system identifier. This field is not displayed in the interface."
Controlled Vocabulary,No
Example Value,"[""5864 .L7 E635 1998 .G7""]"
Element Set,DCMI
Group,Identifiers
