Term,Term URI
Aerial photographs,[http://id.loc.gov/authorities/genreForms/gf2011026032](http://id.loc.gov/authorities/genreForms/gf2011026032)
Aerial views,[http://id.loc.gov/authorities/genreForms/gf2011026033](http://id.loc.gov/authorities/genreForms/gf2011026033)
Aeronautical charts,[http://id.loc.gov/authorities/genreForms/gf2011026034](http://id.loc.gov/authorities/genreForms/gf2011026034)
Armillary spheres,[http://id.loc.gov/authorities/genreForms/gf2011026800](http://id.loc.gov/authorities/genreForms/gf2011026800)
Astronautical charts,[http://id.loc.gov/authorities/genreForms/gf2011026055](http://id.loc.gov/authorities/genreForms/gf2011026055)
Astronomical models,[http://id.loc.gov/authorities/genreForms/gf2011026056](http://id.loc.gov/authorities/genreForms/gf2011026056)
Atlases,[http://id.loc.gov/authorities/genreForms/gf2011026058](http://id.loc.gov/authorities/genreForms/gf2011026058)
Bathymetric maps,[http://id.loc.gov/authorities/genreForms/gf2011026081](http://id.loc.gov/authorities/genreForms/gf2011026081)
Block diagrams,[http://id.loc.gov/authorities/genreForms/gf2011026093](http://id.loc.gov/authorities/genreForms/gf2011026093)
Bottle-charts,[http://id.loc.gov/authorities/genreForms/gf2011026097](http://id.loc.gov/authorities/genreForms/gf2011026097)
Cadastral maps,[http://id.loc.gov/authorities/genreForms/gf2011026106](http://id.loc.gov/authorities/genreForms/gf2011026106)
Cartographic materials,[http://id.loc.gov/authorities/genreForms/gf2011026113](http://id.loc.gov/authorities/genreForms/gf2011026113)
Cartographic materials for people with visual disabilities,[http://id.loc.gov/authorities/genreForms/gf2015026018](http://id.loc.gov/authorities/genreForms/gf2015026018)
Celestial charts,[http://id.loc.gov/authorities/genreForms/gf2011026116](http://id.loc.gov/authorities/genreForms/gf2011026116)
Celestial globes,[http://id.loc.gov/authorities/genreForms/gf2011026117](http://id.loc.gov/authorities/genreForms/gf2011026117)
Census data,[http://id.loc.gov/authorities/genreForms/gf2014026059](http://id.loc.gov/authorities/genreForms/gf2014026059)
Children's atlases,[http://id.loc.gov/authorities/genreForms/gf2011026121](http://id.loc.gov/authorities/genreForms/gf2011026121)
Children's maps,[http://id.loc.gov/authorities/genreForms/gf2011026124](http://id.loc.gov/authorities/genreForms/gf2011026124)
Comparative maps,[http://id.loc.gov/authorities/genreForms/gf2011026155](http://id.loc.gov/authorities/genreForms/gf2011026155)
Composite atlases,[http://id.loc.gov/authorities/genreForms/gf2011026057](http://id.loc.gov/authorities/genreForms/gf2011026057)
Digital elevation models,[http://id.loc.gov/authorities/genreForms/gf2011026787](http://id.loc.gov/authorities/genreForms/gf2011026787)
Digital maps,[http://id.loc.gov/authorities/genreForms/gf2011026199](http://id.loc.gov/authorities/genreForms/gf2011026199)
Early maps,[http://id.loc.gov/authorities/genreForms/gf2011026218](http://id.loc.gov/authorities/genreForms/gf2011026218)
Ephemerides,[http://id.loc.gov/authorities/genreForms/gf2013025048](http://id.loc.gov/authorities/genreForms/gf2013025048)
Ethnographic maps,[http://id.loc.gov/authorities/genreForms/gf2014026012](http://id.loc.gov/authorities/genreForms/gf2014026012)
Fire insurance maps,[http://id.loc.gov/authorities/genreForms/gf2011026284](http://id.loc.gov/authorities/genreForms/gf2011026284)
Flow maps,[http://id.loc.gov/authorities/genreForms/gf2011026756](http://id.loc.gov/authorities/genreForms/gf2011026756)
Gazetteers,[http://id.loc.gov/authorities/genreForms/gf2011026811](http://id.loc.gov/authorities/genreForms/gf2011026811)
Geological cross-sections,[http://id.loc.gov/authorities/genreForms/gf2011026295](http://id.loc.gov/authorities/genreForms/gf2011026295)
Geological maps,[http://id.loc.gov/authorities/genreForms/gf2011026296](http://id.loc.gov/authorities/genreForms/gf2011026296)
Globes,[http://id.loc.gov/authorities/genreForms/gf2011026300](http://id.loc.gov/authorities/genreForms/gf2011026300)
Gores (Maps),[http://id.loc.gov/authorities/genreForms/gf2011026304](http://id.loc.gov/authorities/genreForms/gf2011026304)
Gravity anomaly maps,[http://id.loc.gov/authorities/genreForms/gf2010025067](http://id.loc.gov/authorities/genreForms/gf2010025067)
Index maps,[http://id.loc.gov/authorities/genreForms/gf2011026325](http://id.loc.gov/authorities/genreForms/gf2011026325)
Linguistic atlases,[http://id.loc.gov/authorities/genreForms/gf2011026365](http://id.loc.gov/authorities/genreForms/gf2011026365)
Loran charts,[http://id.loc.gov/authorities/genreForms/gf2011026374](http://id.loc.gov/authorities/genreForms/gf2011026374)
Manuscript maps,[http://id.loc.gov/authorities/genreForms/gf2011026385](http://id.loc.gov/authorities/genreForms/gf2011026385)
Mappae mundi,[http://id.loc.gov/authorities/genreForms/gf2011026386](http://id.loc.gov/authorities/genreForms/gf2011026386)
Mental maps,[http://id.loc.gov/authorities/genreForms/gf2012025033](http://id.loc.gov/authorities/genreForms/gf2012025033)
Meteorological charts,[http://id.loc.gov/authorities/genreForms/gf2011026394](http://id.loc.gov/authorities/genreForms/gf2011026394)
Military maps,[http://id.loc.gov/authorities/genreForms/gf2011026396](http://id.loc.gov/authorities/genreForms/gf2011026396)
Mine maps,[http://id.loc.gov/authorities/genreForms/gf2011026399](http://id.loc.gov/authorities/genreForms/gf2011026399)
