Label,Spatial Coverage
URI,https://opengeometadata.org/ogm-aardvark/#spatial-coverage
Field Name,dct_spatial_sm
Field Type,Array of strings
Obligation,Suggested - helpful for searching by place name
Multivalued,True
Purpose,To provide the user with a list of searchable and selectable place names.
Entry Guidelines,"Place name text strings should be specified out to the nation level. It is typical for the place name to represent the largest extent the data layer represents. Our recommended thesaurus is [GeoNames](https://www.geonames.org/)."
Commentary,"It is recommended to have at least one place name for each layer that corresponds to the logical extent of the area of that layer."
Controlled Vocabulary,No
Example Value,"[""Philadelphia, Pennsylvania, United States""]"
Element Set,DCMI
Group,[Spatial](../spatial-fields)
