Label,Language
URI,dct_language_sm
Obligation,Optional
Multivalued,true
Field type,array of strings
Purpose,To provide the user with the language of the map
Entry Guidelines,Enter a 3-letter code using the ISO 639-2 standard.
Commentary,"This field is intended to indicate the language of the dataset, map, and/or supporting documentation."
Controlled Vocabulary,yes - not strict. Chose from the ISO 639-3 language codes documented on the Library of Congress website. [https://www.loc.gov/standards/iso639-2/php/English_list.php](https://www.loc.gov/standards/iso639-2/php/English_list.php)
Example value,"[""eng""]"
Element Set,DCMI
Group,Bibliographic - general
