GBL 1.0 ,FGDC CSDGM,ISO 19139
dc_creator_sm,idinfo/citation/citeinfo/originator,MD_DataIdentification/citation/CI_Citation/citation/citedResponsibleParty/CI_ResponsibleParty/individualName OR organsationName (@type = originator)
dc_description_s,descript/abstract,MD_DataIdentification/abstract
dc_format_s,spdoinfo/direct,MD_Distribution/distributionFormat/MD_Format/name
dc_identifier_s,-,MD_DataIdentification/citation/CI_Citation/citation/MD_Identifier/code
dc_language_s or _sm,-,MD_DataIdentification/language
dc_publisher_s,idinfo/citation/citeinfo/pubinfo/publisher,MD_DataIdentification/citation/CI_Citation/citation/citedResponsibleParty/CI_ResponsibleParty/individualName OR organsationName (@type = publisher)
dc_rights_s,idinfo/acconst,MD_DataIdentification/resourceConstraints/MD_LegalConstraints/accessConstraints
dc_source_sm,dataqual/lineage/srcinfo/srccite/citeinfo/title,DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/title
dc_subject_sm,idinfo/keywords/theme/themekey,MD_DataIdentification/descriptiveKeywords/MD_Keywords/keyword (@type='theme') AND MD_DataIdentification/topicCategory/MD_TopicCategoryCode
dc_title_s,idinfo/citation/citeinfo/title,MD_DataIdentification/citation/CI_Citation/title
dc_type_s,-,hierarchyLevelName
dct_isPartOf_sm,idinfo/citation/citeinfo/lworkcit/citeinfo/title,MD_AggregateInformation/aggregateDataSetName/CI_Citation/title
dct_issued_s,idinfo/citation/citeinfo/pubdate,MD_DataIdentification/citation/CI_Citation/citation/CI_Date/date
dct_provenance_s,distinfo/distrib/cntinfo/cntorgp/cntorg,MD_Distributor/CI_ResponsibleParty/organisationName
dct_references_s,-,-
dct_spatial_sm,idinfo/keywords/place,MD_DataIdentification/descriptiveKeywords/MD_Keywords/keyword (@type='place')
dct_temporal_sm,idinfo/timeprd/timeinfo/sngdate/caldate and idinfo/timeperd/timeinfo/mdattim/sngdate and idinfo/timeperd/timeinfo/rngdates and idinfo/keywords/temporal/tempkey,MD_DataIdentification/extent/EX_Extent/EX_TemporalExtent/extent/TimePeriod OR TimeInstant
Elements without crosswalk,-,-
geoblacklight_version,-,-
layer_geom_type_s,"spdoinfo/ptvctinf/sdtsterm/sdtstype, idinfo/keywords/theme/themekey",MD_GeometricObjectTypeCode
layer_id_s,-,-
layer_modified_dt,idinfo/citation/citeinfo/onlink,-
layer_slug_s,-,-
solr_geom,idinfo/spdom/bounding/westbc AND eastbc AND northbc AND southbc,-
solr_geom,idinfo/spdom/bounding/westbc AND eastbc AND northbc AND southbc,MD_DataIdentification/extent/EX_Extent/geographicElement/EX_GeographicBoundingBox/west AND south AND east AND north
solr_year_i,idinfo/timeprd/timeinfo/sngdate/caldate and idinfo/timeperd/timeinfo/mdattim/sngdate/caldate and idinfo/timeperd/timeinfo/rngdates/begdate and idinfo/keywords/temporal/tempkey,MD_DataIdentification/extent/EX_Extent/EX_TemporalExtent/extent/TimePeriod OR TimeInstant [YYYY]
suppressed_b,-,-
